Observer,Date,Year,Visit,Property,PointID,Salinity,Herb_hits,Herb_height,Woody_hits,Woody_height,Bare,Wrack,Tree,Snag,Juncus,Cladium,Typha,SpartinaPatens,Phragmites,Scirpus,Distichlis ,Andropogon,Shrub/Woody,SpartinaAlternaflora,Notes,,,, 
G. Loia,6/19/2017,2017,2,ICW,62,,3.6,1.16,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,,,,,,
G. Loia,6/19/2017,2017,2,ICW,87,,5.3,1.41,0,0,2,0,0,0,0,3,6,0,0,1,0,0,0,,,,,,
G. Loia,6/20/2017,2017,3,Roanoke Marsh,73,,6.1,1.36,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,6/16/2017,2017,2,Gull Rock,19,,7.2,1.35,1.8,0.94,0,0,1,0,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,6/16/2017,2017,2,Gull Rock,112,,7,1.3,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,6/16/2017,2017,2,Gull Rock,6,,4.6,0.99,0,0,3,0,0,1,2,0,0,0,0,8,0,0,0,,,,,,
G. Loia,6/16/2017,2017,2,Gull Rock,6,,1.1,0.28,0,0,9,0,0,0,2,0,0,0,0,2,6,0,0,,,,,,
G. Loia,6/21/2017,2017,2,ICW,58,,5.1,1.5,0,0,0,0,2,4,0,0,10,0,0,0,0,0,0,,,,,,
A. VanVorst,6/21/2017,2017,1,ICW,57,,7.3,1.44,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,,,,,
G. Loia,6/21/2017,2017,2,ICW,57,,5.7,1.5,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,,,,,,
A. VanVorst,6/21/2017,2017,1,ICW,58,,5.7,1.5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,,,,,
